Codi,Barris,Any,Preu_m2
56,Vallbona  ,2014,4.25
56,Vallbona  ,2015,6.66
56,Vallbona  ,2016,7.90
56,Vallbona  ,2017,6.05
56,Vallbona  ,2018,9.48
56,Vallbona  ,2019,8.08
56,Vallbona  ,2020,7.90
56,Vallbona  ,2021,5.96
56,Vallbona  ,2022,8.04
56,Vallbona  ,2023,
56,Vallbona  ,2024,
56,Vallbona  ,2025,10.40
57,la Trinitat Vella  ,2014,6.98
57,la Trinitat Vella  ,2015,8.01
57,la Trinitat Vella  ,2016,8.51
57,la Trinitat Vella  ,2017,9.16
57,la Trinitat Vella  ,2018,10.01
57,la Trinitat Vella  ,2019,10.11
57,la Trinitat Vella  ,2020,10.86
57,la Trinitat Vella  ,2021,10.31
57,la Trinitat Vella  ,2022,10.97
57,la Trinitat Vella  ,2023,12.53
57,la Trinitat Vella  ,2024,11.12
57,la Trinitat Vella  ,2025,12.91
58,Baró de Viver  ,2014,3.92
58,Baró de Viver  ,2015,4.78
58,Baró de Viver  ,2016,3.52
58,Baró de Viver  ,2017,6.21
58,Baró de Viver  ,2018,7.48
58,Baró de Viver  ,2019,6.51
58,Baró de Viver  ,2020,7.52
58,Baró de Viver  ,2021,8.01
58,Baró de Viver  ,2022,6.12
58,Baró de Viver  ,2023,9.23
58,Baró de Viver  ,2024,7.76
58,Baró de Viver  ,2025,8.45
59,el Bon Pastor  ,2014,8.05
59,el Bon Pastor  ,2015,8.82
59,el Bon Pastor  ,2016,8.71
59,el Bon Pastor  ,2017,9.52
59,el Bon Pastor  ,2018,10.85
59,el Bon Pastor  ,2019,10.50
59,el Bon Pastor  ,2020,11.88
59,el Bon Pastor  ,2021,10.83
59,el Bon Pastor  ,2022,11.54
59,el Bon Pastor  ,2023,10.90
59,el Bon Pastor  ,2024,10.49
59,el Bon Pastor  ,2025,11.36
60,Sant Andreu  ,2014,9.19
60,Sant Andreu  ,2015,10.03
60,Sant Andreu  ,2016,10.90
60,Sant Andreu  ,2017,12.33
60,Sant Andreu  ,2018,11.91
60,Sant Andreu  ,2019,12.47
60,Sant Andreu  ,2020,12.50
60,Sant Andreu  ,2021,11.89
60,Sant Andreu  ,2022,12.65
60,Sant Andreu  ,2023,13.96
60,Sant Andreu  ,2024,13.92
60,Sant Andreu  ,2025,14.62
61,la Sagrera  ,2014,9.05
61,la Sagrera  ,2015,9.73
61,la Sagrera  ,2016,10.49
61,la Sagrera  ,2017,10.84
61,la Sagrera  ,2018,11.92
61,la Sagrera  ,2019,12.65
61,la Sagrera  ,2020,12.40
61,la Sagrera  ,2021,11.98
61,la Sagrera  ,2022,12.89
61,la Sagrera  ,2023,14.54
61,la Sagrera  ,2024,14.43
61,la Sagrera  ,2025,14.08
62,el Congrés i els Indians  ,2014,9.24
62,el Congrés i els Indians  ,2015,9.45
62,el Congrés i els Indians  ,2016,10.39
62,el Congrés i els Indians  ,2017,11.37
62,el Congrés i els Indians  ,2018,11.93
62,el Congrés i els Indians  ,2019,12.07
62,el Congrés i els Indians  ,2020,12.52
62,el Congrés i els Indians  ,2021,11.68
62,el Congrés i els Indians  ,2022,12.46
62,el Congrés i els Indians  ,2023,14.02
62,el Congrés i els Indians  ,2024,14.61
62,el Congrés i els Indians  ,2025,14.20
63,Navas  ,2014,8.91
63,Navas  ,2015,9.73
63,Navas  ,2016,10.81
63,Navas  ,2017,11.47
63,Navas  ,2018,12.03
63,Navas  ,2019,12.43
63,Navas  ,2020,12.67
63,Navas  ,2021,11.88
63,Navas  ,2022,12.65
63,Navas  ,2023,14.45
63,Navas  ,2024,14.34
63,Navas  ,2025,14.69
64,el Camp de l'Arpa del Clot  ,2014,9.74
64,el Camp de l'Arpa del Clot  ,2015,10.63
64,el Camp de l'Arpa del Clot  ,2016,11.71
64,el Camp de l'Arpa del Clot  ,2017,12.95
64,el Camp de l'Arpa del Clot  ,2018,13.03
64,el Camp de l'Arpa del Clot  ,2019,13.54
64,el Camp de l'Arpa del Clot  ,2020,13.57
64,el Camp de l'Arpa del Clot  ,2021,13.00
64,el Camp de l'Arpa del Clot  ,2022,14.14
64,el Camp de l'Arpa del Clot  ,2023,15.76
64,el Camp de l'Arpa del Clot  ,2024,15.65
64,el Camp de l'Arpa del Clot  ,2025,15.99
65,el Clot  ,2014,9.63
65,el Clot  ,2015,10.31
65,el Clot  ,2016,11.19
65,el Clot  ,2017,12.45
65,el Clot  ,2018,12.55
65,el Clot  ,2019,13.25
65,el Clot  ,2020,13.35
65,el Clot  ,2021,12.88
65,el Clot  ,2022,13.63
65,el Clot  ,2023,15.40
65,el Clot  ,2024,15.57
65,el Clot  ,2025,15.65
66,el Parc i la Llacuna del Poblenou  ,2014,10.24
66,el Parc i la Llacuna del Poblenou  ,2015,11.49
66,el Parc i la Llacuna del Poblenou  ,2016,12.79
66,el Parc i la Llacuna del Poblenou  ,2017,13.76
66,el Parc i la Llacuna del Poblenou  ,2018,13.96
66,el Parc i la Llacuna del Poblenou  ,2019,15.02
66,el Parc i la Llacuna del Poblenou  ,2020,14.33
66,el Parc i la Llacuna del Poblenou  ,2021,14.27
66,el Parc i la Llacuna del Poblenou  ,2022,15.90
66,el Parc i la Llacuna del Poblenou  ,2023,17.25
66,el Parc i la Llacuna del Poblenou  ,2024,16.86
66,el Parc i la Llacuna del Poblenou  ,2025,18.21
67,la Vila Olímpica del Poblenou  ,2014,13.18
67,la Vila Olímpica del Poblenou  ,2015,14.29
67,la Vila Olímpica del Poblenou  ,2016,16.21
67,la Vila Olímpica del Poblenou  ,2017,17.13
67,la Vila Olímpica del Poblenou  ,2018,16.87
67,la Vila Olímpica del Poblenou  ,2019,17.55
67,la Vila Olímpica del Poblenou  ,2020,17.66
67,la Vila Olímpica del Poblenou  ,2021,16.76
67,la Vila Olímpica del Poblenou  ,2022,19.11
67,la Vila Olímpica del Poblenou  ,2023,20.38
67,la Vila Olímpica del Poblenou  ,2024,21.87
67,la Vila Olímpica del Poblenou  ,2025,20.82
68,el Poblenou  ,2014,10.57
68,el Poblenou  ,2015,11.73
68,el Poblenou  ,2016,12.79
68,el Poblenou  ,2017,13.97
68,el Poblenou  ,2018,14.46
68,el Poblenou  ,2019,15.08
68,el Poblenou  ,2020,14.92
68,el Poblenou  ,2021,14.33
68,el Poblenou  ,2022,16.51
68,el Poblenou  ,2023,17.78
68,el Poblenou  ,2024,18.11
68,el Poblenou  ,2025,18.29
69,Diagonal Mar i el Front Marítim del Poblenou  ,2014,11.18
69,Diagonal Mar i el Front Marítim del Poblenou  ,2015,12.49
69,Diagonal Mar i el Front Marítim del Poblenou  ,2016,13.87
69,Diagonal Mar i el Front Marítim del Poblenou  ,2017,16.03
69,Diagonal Mar i el Front Marítim del Poblenou  ,2018,15.27
69,Diagonal Mar i el Front Marítim del Poblenou  ,2019,17.26
69,Diagonal Mar i el Front Marítim del Poblenou  ,2020,16.66
69,Diagonal Mar i el Front Marítim del Poblenou  ,2021,15.66
69,Diagonal Mar i el Front Marítim del Poblenou  ,2022,17.24
69,Diagonal Mar i el Front Marítim del Poblenou  ,2023,18.81
69,Diagonal Mar i el Front Marítim del Poblenou  ,2024,19.63
69,Diagonal Mar i el Front Marítim del Poblenou  ,2025,22.39
70,el Besòs i el Maresme  ,2014,7.74
70,el Besòs i el Maresme  ,2015,8.38
70,el Besòs i el Maresme  ,2016,8.77
70,el Besòs i el Maresme  ,2017,10.03
70,el Besòs i el Maresme  ,2018,10.95
70,el Besòs i el Maresme  ,2019,11.34
70,el Besòs i el Maresme  ,2020,11.91
70,el Besòs i el Maresme  ,2021,11.34
70,el Besòs i el Maresme  ,2022,12.13
70,el Besòs i el Maresme  ,2023,12.49
70,el Besòs i el Maresme  ,2024,13.44
70,el Besòs i el Maresme  ,2025,13.16
71,Provençals del Poblenou  ,2014,9.67
71,Provençals del Poblenou  ,2015,9.96
71,Provençals del Poblenou  ,2016,11.78
71,Provençals del Poblenou  ,2017,12.94
71,Provençals del Poblenou  ,2018,13.63
71,Provençals del Poblenou  ,2019,14.11
71,Provençals del Poblenou  ,2020,13.98
71,Provençals del Poblenou  ,2021,13.47
71,Provençals del Poblenou  ,2022,14.54
71,Provençals del Poblenou  ,2023,16.35
71,Provençals del Poblenou  ,2024,16.12
71,Provençals del Poblenou  ,2025,16.85
72,Sant Martí de Provençals  ,2014,8.88
72,Sant Martí de Provençals  ,2015,9.40
72,Sant Martí de Provençals  ,2016,9.97
72,Sant Martí de Provençals  ,2017,10.90
72,Sant Martí de Provençals  ,2018,11.50
72,Sant Martí de Provençals  ,2019,11.90
72,Sant Martí de Provençals  ,2020,11.78
72,Sant Martí de Provençals  ,2021,11.49
72,Sant Martí de Provençals  ,2022,12.13
72,Sant Martí de Provençals  ,2023,13.54
72,Sant Martí de Provençals  ,2024,14.10
72,Sant Martí de Provençals  ,2025,13.57
73,la Verneda i la Pau  ,2014,8.32
73,la Verneda i la Pau  ,2015,9.10
73,la Verneda i la Pau  ,2016,9.11
73,la Verneda i la Pau  ,2017,10.16
73,la Verneda i la Pau  ,2018,11.19
73,la Verneda i la Pau  ,2019,11.48
73,la Verneda i la Pau  ,2020,11.55
73,la Verneda i la Pau  ,2021,11.07
73,la Verneda i la Pau  ,2022,11.42
73,la Verneda i la Pau  ,2023,16.30
73,la Verneda i la Pau  ,2024,14.52
73,la Verneda i la Pau  ,2025,14.17
