Codi,Barris,Any,Preu_m2
12,la Marina del Prat Vermell - AEI Zona Franca  ,2015,6.61
12,la Marina del Prat Vermell - AEI Zona Franca  ,2016,5.87
12,la Marina del Prat Vermell - AEI Zona Franca  ,2017,
12,la Marina del Prat Vermell - AEI Zona Franca  ,2018,
12,la Marina del Prat Vermell - AEI Zona Franca  ,2019,7.10
12,la Marina del Prat Vermell - AEI Zona Franca  ,2020,
12,la Marina del Prat Vermell - AEI Zona Franca  ,2021,5.90
12,la Marina del Prat Vermell - AEI Zona Franca  ,2022,7.19
12,la Marina del Prat Vermell - AEI Zona Franca  ,2023,13.39
12,la Marina del Prat Vermell - AEI Zona Franca  ,2024,8.68
12,la Marina del Prat Vermell - AEI Zona Franca  ,2025,17.36
13,la Marina de Port  ,2014,7.99
13,la Marina de Port  ,2015,8.36
13,la Marina de Port  ,2016,8.87
13,la Marina de Port  ,2017,10.36
13,la Marina de Port  ,2018,10.58
13,la Marina de Port  ,2019,10.83
13,la Marina de Port  ,2020,11.15
13,la Marina de Port  ,2021,10.71
13,la Marina de Port  ,2022,10.60
13,la Marina de Port  ,2023,12.58
13,la Marina de Port  ,2024,12.02
13,la Marina de Port  ,2025,13.13
14,la Font de la Guatlla  ,2014,10.62
14,la Font de la Guatlla  ,2015,11.33
14,la Font de la Guatlla  ,2016,12.05
14,la Font de la Guatlla  ,2017,13.03
14,la Font de la Guatlla  ,2018,12.37
14,la Font de la Guatlla  ,2019,12.84
14,la Font de la Guatlla  ,2020,13.32
14,la Font de la Guatlla  ,2021,12.75
14,la Font de la Guatlla  ,2022,14.06
14,la Font de la Guatlla  ,2023,15.82
14,la Font de la Guatlla  ,2024,15.64
14,la Font de la Guatlla  ,2025,15.94
15,Hostafrancs  ,2014,10.27
15,Hostafrancs  ,2015,11.12
15,Hostafrancs  ,2016,12.16
15,Hostafrancs  ,2017,12.91
15,Hostafrancs  ,2018,13.54
15,Hostafrancs  ,2019,13.83
15,Hostafrancs  ,2020,13.96
15,Hostafrancs  ,2021,13.14
15,Hostafrancs  ,2022,14.24
15,Hostafrancs  ,2023,15.81
15,Hostafrancs  ,2024,15.64
15,Hostafrancs  ,2025,16.46
16,la Bordeta  ,2014,9.31
16,la Bordeta  ,2015,9.84
16,la Bordeta  ,2016,10.82
16,la Bordeta  ,2017,11.94
16,la Bordeta  ,2018,12.15
16,la Bordeta  ,2019,12.76
16,la Bordeta  ,2020,12.98
16,la Bordeta  ,2021,12.34
16,la Bordeta  ,2022,13.42
16,la Bordeta  ,2023,21.06
16,la Bordeta  ,2024,18.72
16,la Bordeta  ,2025,18.23
17,Sants - Badal  ,2014,9.94
17,Sants - Badal  ,2015,10.74
17,Sants - Badal  ,2016,11.75
17,Sants - Badal  ,2017,13.15
17,Sants - Badal  ,2018,13.04
17,Sants - Badal  ,2019,13.82
17,Sants - Badal  ,2020,13.83
17,Sants - Badal  ,2021,13.17
17,Sants - Badal  ,2022,14.44
17,Sants - Badal  ,2023,15.68
17,Sants - Badal  ,2024,16.05
17,Sants - Badal  ,2025,15.93
18,Sants  ,2014,10.07
18,Sants  ,2015,10.99
18,Sants  ,2016,11.89
18,Sants  ,2017,13.18
18,Sants  ,2018,13.15
18,Sants  ,2019,13.84
18,Sants  ,2020,13.86
18,Sants  ,2021,13.12
18,Sants  ,2022,14.18
18,Sants  ,2023,15.76
18,Sants  ,2024,15.96
18,Sants  ,2025,16.43
19,les Corts  ,2014,11.07
19,les Corts  ,2015,11.85
19,les Corts  ,2016,13.04
19,les Corts  ,2017,14.33
19,les Corts  ,2018,14.84
19,les Corts  ,2019,15.05
19,les Corts  ,2020,14.86
19,les Corts  ,2021,14.06
19,les Corts  ,2022,15.44
19,les Corts  ,2023,17.08
19,les Corts  ,2024,17.43
19,les Corts  ,2025,17.97
20,la Maternitat i Sant Ramon  ,2014,10.38
20,la Maternitat i Sant Ramon  ,2015,11.42
20,la Maternitat i Sant Ramon  ,2016,12.91
20,la Maternitat i Sant Ramon  ,2017,13.37
20,la Maternitat i Sant Ramon  ,2018,13.59
20,la Maternitat i Sant Ramon  ,2019,14.45
20,la Maternitat i Sant Ramon  ,2020,13.97
20,la Maternitat i Sant Ramon  ,2021,12.98
20,la Maternitat i Sant Ramon  ,2022,14.78
20,la Maternitat i Sant Ramon  ,2023,15.76
20,la Maternitat i Sant Ramon  ,2024,16.43
20,la Maternitat i Sant Ramon  ,2025,16.51
21,Pedralbes  ,2014,12.33
21,Pedralbes  ,2015,14.15
21,Pedralbes  ,2016,14.65
21,Pedralbes  ,2017,16.21
21,Pedralbes  ,2018,15.35
21,Pedralbes  ,2019,15.69
21,Pedralbes  ,2020,15.47
21,Pedralbes  ,2021,15.06
21,Pedralbes  ,2022,15.25
21,Pedralbes  ,2023,17.48
21,Pedralbes  ,2024,19.29
21,Pedralbes  ,2025,18.67
22,"Vallvidrera, el Tibidabo i les Planes  ",2014,10.60
22,"Vallvidrera, el Tibidabo i les Planes  ",2015,12.10
22,"Vallvidrera, el Tibidabo i les Planes  ",2016,15.08
22,"Vallvidrera, el Tibidabo i les Planes  ",2017,16.58
22,"Vallvidrera, el Tibidabo i les Planes  ",2018,11.93
22,"Vallvidrera, el Tibidabo i les Planes  ",2019,13.86
22,"Vallvidrera, el Tibidabo i les Planes  ",2020,12.47
22,"Vallvidrera, el Tibidabo i les Planes  ",2021,15.33
22,"Vallvidrera, el Tibidabo i les Planes  ",2022,13.56
22,"Vallvidrera, el Tibidabo i les Planes  ",2023,14.12
22,"Vallvidrera, el Tibidabo i les Planes  ",2024,16.28
22,"Vallvidrera, el Tibidabo i les Planes  ",2025,14.53
23,Sarrià  ,2014,13.59
23,Sarrià  ,2015,14.54
23,Sarrià  ,2016,15.94
23,Sarrià  ,2017,17.51
23,Sarrià  ,2018,17.25
23,Sarrià  ,2019,16.87
23,Sarrià  ,2020,16.98
23,Sarrià  ,2021,15.90
23,Sarrià  ,2022,18.19
23,Sarrià  ,2023,19.52
23,Sarrià  ,2024,19.26
23,Sarrià  ,2025,20.49
24,les Tres Torres  ,2014,13.52
24,les Tres Torres  ,2015,13.97
24,les Tres Torres  ,2016,15.64
24,les Tres Torres  ,2017,16.88
24,les Tres Torres  ,2018,16.43
24,les Tres Torres  ,2019,17.05
24,les Tres Torres  ,2020,16.52
24,les Tres Torres  ,2021,15.74
24,les Tres Torres  ,2022,17.90
24,les Tres Torres  ,2023,19.42
24,les Tres Torres  ,2024,19.74
24,les Tres Torres  ,2025,19.74
25,Sant Gervasi - la Bonanova  ,2014,11.55
25,Sant Gervasi - la Bonanova  ,2015,12.82
25,Sant Gervasi - la Bonanova  ,2016,14.22
25,Sant Gervasi - la Bonanova  ,2017,15.38
